review,sentiment,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,pred_label
"@leftwanting Yeah girl.  It's alright, though.  I don't really care. In the words of Donnie's new song, &quot;I DON'T GIVE A FUUUUCK!&quot; ",NEGATIVE,,,,,,LABEL_0
"I dont like seeing my best friend cry, it breaks my heart and I dont know what to do or say ",POSITIVE,,,,,,LABEL_0
@nebkiwi Damn you!!  I want some ,POSITIVE,,,,,,LABEL_0
Preciso de praiaaaaaaa!!!!!! Can someone take me to the beach now? ,NEGATIVE,,,,,,LABEL_0
Shout out to the lovely Chloe. ,POSITIVE,,,,,,LABEL_0
My favoritist ring in the world just broke im extremely bummed ,NEGATIVE,,,,,,LABEL_0
"vacuum complete, now clean bathrooms and kitchen then mop...got motivated when friends dropped by and place was a sty ",NEGATIVE,,,,,,LABEL_1
@niclas Tweeted too soon ,NEGATIVE,,,,,,LABEL_0
@CarriBella BTW ... I scoured the web for Ethel Ennis ... lots of pages but very few of her CDs ,NEGATIVE,,,,,,LABEL_0
@leocomerlato @INFECTEDPB503 And my brother.. ,NEGATIVE,,,,,,LABEL_0
Shadow snagged a nail on the rug and is bleeding. Cleaned up a lot of bloody paw prints. The nail looks pretty bad. Will visit the vet. ,NEGATIVE,,,,,,LABEL_0
working wayyy to early. i need more sleep ,NEGATIVE,,,,,,LABEL_1
@SzFifteens @SzFifteens  I make sick look sexy tho. #WishfulThinking,NEGATIVE,,,,,,LABEL_0
My lil sis just rained on my parade ,NEGATIVE,,,,,,LABEL_0
Working on my stupid novel for school! I can say that it's not going good at all! ,NEGATIVE,,,,,,LABEL_0
 noone wants to talk to me  lol,POSITIVE,,,,,,LABEL_0
"I know what I need to do, but I dont know how to  this really sux......",NEGATIVE,,,,,,LABEL_0
I am trying to get through my entire day on only decaf coffee...I have not been successful so far ,NEGATIVE,,,,,,LABEL_0
Happy Mother's Day to all you moms out there ,POSITIVE,,,,,,LABEL_0
@sowasred2012 I loved Prague. It was like a fairytale town ,POSITIVE,,,,,,LABEL_0
@TomFelton Chocolate day?? Today is a fucking day ! ,NEGATIVE,,,,,,LABEL_0
?????? See you guys again! ,POSITIVE,,,,,,LABEL_0
I thought this was pretty incredible: http://tinyurl.com/ldsrvs This should give everyone hope for the future. ,POSITIVE,,,,,,LABEL_0
really doesnt wanna turn up to his 10hr slave labour work shift today ,NEGATIVE,,,,,,LABEL_0
unable to update #iPhone to OS 3.0. Seems #activation server is down. ,NEGATIVE,,,,,,LABEL_0
Mourning loss is devastating.... buried my husband yesterday ,NEGATIVE,,,,,,LABEL_0
"@Vildego tối qua hơn 10h anh mới v�?, ăn uống chưa kịp xem nó giống ji , nó là nhị thể hai màu vàng trắng, but anh đánh mất máy ảnh roài ",NEGATIVE,,,,,,LABEL_0
"@jazzisbad LoL.. Let's not go there. Yu went blonde, started cursing, and forgot about ME! Communication is 2 ways babe. Its kool tho ",NEGATIVE,,,,,,LABEL_0
listening to some nice piano music and drawing a new mcfly picture... a lovely sunday! - but I still have to do homework ,POSITIVE,,,,,,LABEL_0
@cindybeall The Sonic in Quail Springs also closed  Totally messed up my routine of getting a drink for the movie.,NEGATIVE,,,,,,LABEL_0
Off to work tomorrow is my day off then back for 6 more days ,NEGATIVE,,,,,,LABEL_0
This spells the end for richie  takin him in tomorrow morning,POSITIVE,,,,,,LABEL_0
@tedroddy what is that site that checks for errors in your HTML. iWeb CAN'T MAKE A SITE THAT WORKS ON 000webhost. ,NEGATIVE,,,,,,LABEL_0
@youknowzach you dont have aim? :O do you have skype or anything else? i want to go to the gym ,NEGATIVE,,,,,,LABEL_0
launching the 'hey nicole it's hey bill ' campaign on myspace youtube facebook and now twitter thankyou noosa bill ross @ team ,POSITIVE,,,,,,LABEL_0
getting ready for school. its gonna be a boring day!  ^^COD WaW^^,NEGATIVE,,,,,,LABEL_0
im not going to vanessa williams album listening party  tickets are all sold out! i took too long to decide...oh well.,NEGATIVE,,,,,,LABEL_0
@Straw000 Nope ,NEGATIVE,,,,,,LABEL_0
needs help getting something for evan for graduation! Fuck my life..  HELP ME!!!,NEGATIVE,,,,,,LABEL_0
Chasing Liberty on ETC. couch potato... ,NEGATIVE,,,,,,LABEL_0
"@Reinachango wish i was coming with ya, miss u all already, hurry back please  x",NEGATIVE,,,,,,LABEL_0
@nikolecamarae that she didnt wanna take me and get out of the house ,NEGATIVE,,,,,,LABEL_1
start working aggressive marketing campaign for Tour de Flex Zagreb. 18.06.2009. Only in our town ,NEGATIVE,,,,,,LABEL_0
@fra66le haha AND its going to have Balsamic vinegar on the top as well - geet posh eh? Yeah winged monkeys = scary but cool ,POSITIVE,,,,,,LABEL_0
Tornado sirens finally stopped but the winds are still pretty strong.... 100 MPH is pretty bad. So much for growing the gardens this year ,NEGATIVE,,,,,,LABEL_0
"shit my bro comes home, gotta leave his pc now I guess ",NEGATIVE,,,,,,LABEL_0
"@viaps29 ihhh gak sombong  habis di grounded vi, kan gua abis ulummmm",NEGATIVE,,,,,,LABEL_1
@PearlBrownie I LOVE Solange's album! I'd go ,POSITIVE,,,,,,LABEL_0
@exohbellaaaaa MY LITTLE MAN   IS HE OKAY?! And suuuure what? You know I still love my boys just not a huge fan of the album.,NEGATIVE,,,,,,LABEL_0
@aliwise is tweeting so much that she's not even paying attention to me! ,NEGATIVE,,,,,,LABEL_0
@miahump ooooo... that you dont love me no more on twitter..  not like you used to... lol.. im out of it. dnt mind me but i think we,NEGATIVE,,,,,,LABEL_0
@phoopee3 OH GOD NOT THE BLUE DRINK! ,NEGATIVE,,,,,,LABEL_0
iPhone safari won't work in Glasgow?? Any ideas?? Or do I have to wait to return to London this eve to surf ,NEGATIVE,,,,,,LABEL_0
Still waiting for YouTube to finish maintenance so that I can upload more Mhelp clips   Mhelp2U,NEGATIVE,,,,,,LABEL_0
got really sick last night ,NEGATIVE,,,,,,LABEL_0
"@sallyLFC I did my best, it is Sunday after all ",POSITIVE,,,,,,LABEL_0
We're on lock down again! so I can't leave school ,POSITIVE,,,,,,LABEL_0
Is going to bed  gnite followers ,NEGATIVE,,,,,,LABEL_0
@allankent YES  Ok - mayb not so brilliant - but after Cell C and banks who should know all  bout u and seem 2 know zip I was impressed.,POSITIVE,,,,,,LABEL_0
on the north im BOOMIN!!!.. lol.. fucc the club dog i rather count a million buccz!!!..  ..THEY CALL ME STARBUCCZ BITCH!!!..,NEGATIVE,,,,,,LABEL_0
come on... drop by 1  27. tribbleagency.com,NEGATIVE,,,,,,LABEL_0
new pet peeve- that little triangle the windshield wipers make! it been rainingall over my summer!! not cool  up was sooo cute!,NEGATIVE,,,,,,LABEL_0
well my package didn't come  i guess i better go start packing for real this time... i'm gonna miss America! &lt;3,NEGATIVE,,,,,,LABEL_0
"So I got the new/old Incubus album, how I hate greatest hits albums.  A little disappointed, not gonna lie ",NEGATIVE,,,,,,LABEL_0
@mikefoong whatis and when is shorties? Me n00b ,NEGATIVE,,,,,,LABEL_0
It's my birthday and I'm in work... and I have a splitting head ache ,NEGATIVE,,,,,,LABEL_1
@snarkyrainbow I don't think I have any goofy hats that you haven't seen. I'll have to go to a hat shop and take some. ,NEGATIVE,,,,,,LABEL_0
@MasqueradeDiva3 probably just one big bacterial infection. ,NEGATIVE,,,,,,LABEL_0
Gonna be on the road to Hull in a bit for Aquarium. I missed 2nd half of Traffic Cops ,NEGATIVE,,,,,,LABEL_0
"@kenis1993 it would be cool, but expensive ",NEGATIVE,,,,,,LABEL_1
Is stuck at work. All I want to do is sleep ,NEGATIVE,,,,,,LABEL_0
"@jurgen If you see it at Nova on a Monday, tickets are only $8 ",NEGATIVE,,,,,,LABEL_0
OMGoodness back to school soon FUN! ,POSITIVE,,,,,,LABEL_0
"@Kelly3uk naa av finished but well i failed  got resits 2 do tho b4 i can graduate. i no i am, i need sum excitement in me lil life!",NEGATIVE,,,,,,LABEL_0
@smithdavid787 Very. It went from pumpkins to md wrestling. ,NEGATIVE,,,,,,LABEL_0
@blakeshelton i know how that is ,POSITIVE,,,,,,LABEL_0
@MillyAye Amelia it was 2 degrees here (Northam WA) this morning - everyone at work was laughing cause my nose was red  I want summer back,NEGATIVE,,,,,,LABEL_1
the rumors are the most stupid thing i ever read  ,NEGATIVE,,,,,,LABEL_0
work sadly now calls  Back to the joys of documetation,NEGATIVE,,,,,,LABEL_0
I need a new phone charger ,NEGATIVE,,,,,,LABEL_1
has wine-loving flies in her apartment! Argh!!! ,POSITIVE,,,,,,LABEL_0
is confused as to whether @chrisdjmoyles is being axed or not  SO CONFUSING,NEGATIVE,,,,,,LABEL_1
Sat in the doctors - blerghh it smells ,NEGATIVE,,,,,,LABEL_0
so bored. ,NEGATIVE,,,,,,LABEL_0
@djchopps. What tv show? I kno I can get in on it! ,NEGATIVE,,,,,,LABEL_0
"I'm very confused right now :S 'bout several things :S and feeling a little bit sad, i don't know why :S ",NEGATIVE,,,,,,LABEL_0
has the butterflies!  ,POSITIVE,,,,,,LABEL_0
Okay the *feeling good* stint is wearing off. Wonder if hubby will dispense the 'happy' medicine early ,NEGATIVE,,,,,,LABEL_0
"@AyyoItsAmandaJo Hmmm, Idk. They Were Just Here In Feb. I Was Supposed To Go, But My Mom Changed Her Mind  Lol.",NEGATIVE,,,,,,LABEL_0
@JAMIEgasm what about me? i dont comfort you? ,NEGATIVE,,,,,,LABEL_0
Looks like ima have to let some shit go twitt... Damn! ,NEGATIVE,,,,,,LABEL_0
Just said goodbye to the fam. The only sad part about leaving ,NEGATIVE,,,,,,LABEL_0
I need a life's supply of water and a few asprin. ,NEGATIVE,,,,,,LABEL_0
@boobsie_lu the chick was eliminated on the first episode. Hahhahaha I wiki'ed it ,NEGATIVE,,,,,,LABEL_0
@VeganMum - oh no.   I'm so sorry to hear that.,NEGATIVE,,,,,,LABEL_0
"Just came out of a really long meeting , plus i almost fell of to sleep ",NEGATIVE,,,,,,LABEL_1
@rkforums Thank you for following me i designed my new Homepage  www.sms-ohne-anmelden.de,POSITIVE,,,,,,LABEL_0
Trying to remain positive. I just want to get this semester over with ,NEGATIVE,,,,,,LABEL_0
None of my friends answer texts anymore and my best friend is so busy at work he can't talk ,NEGATIVE,,,,,,LABEL_0
Darn. Its quiet around here at the moment (still waiting for the US to wake up  ) Who's all on this sunday??? http://ff.im/2YcBp,NEGATIVE,,,,,,LABEL_0
A year ago you left me ... I miss U ... I adore U ... [My Grandfa.] ,POSITIVE,,,,,,LABEL_0
be there in like a hr and 20 mins yay ! my back hurts ,NEGATIVE,,,,,,LABEL_1
I'm trying to figure out how on earth I am supposed to be able to update my statuses via my phone. Someone help meeee! ,NEGATIVE,,,,,,LABEL_0
cant stay mad. kjasdkjsdagjklsdgjklasd ,NEGATIVE,,,,,,LABEL_0
Sitting in dentist with son jack waiting for a filling ,NEGATIVE,,,,,,LABEL_1
@Wolfie_Princess yas is from yugaslavia ,NEGATIVE,,,,,,LABEL_0
JUST WATCHED THE NEW HANNAH MONTANNA WHEN SHE''Z IN VEGAS &amp; THAT GOT ME MAD!JUST ANOTHER REMINDER OF WHERE I USED TO LIVE AND MISS ,NEGATIVE,,,,,,LABEL_0
@ChosenOnePR  absolutely NOTHING work has been kickin my ass ,NEGATIVE,,,,,,LABEL_0
didn't get to finish watching she's the man ,NEGATIVE,,,,,,LABEL_0
@PurpleBohemian1 me either ,NEGATIVE,,,,,,LABEL_0
G'night twitter world- off to do some graduation/goodbye gift buying tomorrow ,POSITIVE,,,,,,LABEL_0
Doing driving with chelsea   manu ver ing   she's getting alot better   i'm proud of her     ~Loverboy~,POSITIVE,,,,,,LABEL_0
is very excited for sushi. You can't join unless you're in a costume or a wacky outfit. I'm dressing up as a schoolgirl!   #fb,POSITIVE,,,,,,LABEL_0
"Seriously, no freakin lifee. ",NEGATIVE,,,,,,LABEL_0
"@SueInge you are so right! When you stop surviving &amp; start living, beautiful things happen! ",POSITIVE,,,,,,LABEL_0
Good morning twitter world ,POSITIVE,,,,,,LABEL_0
I wish the Nintendo coverage for E3 didn't start at noon. I have to go get my brother from school then... ,NEGATIVE,,,,,,LABEL_0
"@olospo thanks, but i've already got a degree - i was after part time evening course! ",NEGATIVE,,,,,,LABEL_0
Line of cars is forever long. Def gonna b late 2 work ,NEGATIVE,,,,,,LABEL_0
Omg! This song is scary!  Its creeping me out big style....,POSITIVE,,,,,,LABEL_0
@kyrasedgwick would love to support but I'm not from US so they won't accept my sigature ,NEGATIVE,,,,,,LABEL_1
Looong day of doing nothing! time for bed. Good night ,NEGATIVE,,,,,,LABEL_0
Man im awake. but not lookin 4ward to sittin at this desk 4 the nxt 4hrs  hopefully i'll be doing sumthin when i get off....?,NEGATIVE,,,,,,LABEL_1
@neszlifeasmcrmy bahahah! I slept more nessy! ,NEGATIVE,,,,,,LABEL_0
"@yettagibsonfox I dont know why  , The dude just rubs me the wrong way",NEGATIVE,,,,,,LABEL_0
Wow do I hate finding jeans that fit correctly. If only I was skinner ,NEGATIVE,,,,,,LABEL_0
@Girleegirl THIS IS WHAT HAPPENS WHEN I'M NOT THERE TO BENEFIT ,NEGATIVE,,,,,,LABEL_0
@JeminiATX @therealsouthpaw u guys are going to the urban music conference? ME TOO!!!! hehe see yall there ,POSITIVE,,,,,,LABEL_0
"man this is 1st Sunday 2.. well, i guess i'll just take communion at home, LOL. that's really not funny though... I WANNA GO 2 CHURCH!!! ",NEGATIVE,,,,,,LABEL_0
"I mentioned it before, but scrolling through long manpages in the Terminal app without PageUp/PageDown is hell  #MacBook",NEGATIVE,,,,,,LABEL_1
"OMG: Project Natal just hit me! We'll see, how the pubishers gonna use it, but I am stunned. I'll try to find the box of my PS3 ",NEGATIVE,,,,,,LABEL_0
Back from walk around the water today. Saw lots I doggie friends but Mum didn't let me play with any ,NEGATIVE,,,,,,LABEL_0
"Hayfever, urrggghhhh!  And not a sign of a bit of hay anywhere near by either.",NEGATIVE,,,,,,LABEL_0
@_Dream_  im watchin racing and falling asleep food makes me sleepy,NEGATIVE,,,,,,LABEL_1
@Awapy I miss you too!  This place is definitely less fun without you.  And I don't even get to run into you at the gym anymore ,NEGATIVE,,,,,,LABEL_0
"Hmm could sell my iPhone 3G for £200 which would cover the cost of the rest of my contract, but then I would still have to pay up for 3GS ",NEGATIVE,,,,,,LABEL_0
seems like no one on ebay wants to buy my macbook ,NEGATIVE,,,,,,LABEL_1
"@CrunkyMonkey damn you, come home already... i wanna play ",NEGATIVE,,,,,,LABEL_0
Arrggghh!! Wanted to change my Twitter handle... but @tantanu is taken ,NEGATIVE,,,,,,LABEL_0
Sad that people can not just use twitter and be who they really are!  ,NEGATIVE,,,,,,LABEL_0
working on my day off   - glad the weather is rainy...,NEGATIVE,,,,,,LABEL_0
I LOVE @Health4UandPets u guys r the best!! ,POSITIVE,,,,,,LABEL_0
Sending my audition to Disney channel soon.. for a original movie! Im so exited.. you have no idea.. so stay tuned guys ,NEGATIVE,,,,,,LABEL_0
"Winter has come!  Only, it's a rainy winter ",NEGATIVE,,,,,,LABEL_0
Norton Anti-Virus.... Does it ever stop a virus? 2nd infection in 2 weeks. ,NEGATIVE,,,,,,LABEL_0
Why wont the all american rejects come to england ,NEGATIVE,,,,,,LABEL_0
@LeisureSociety I want to go to that so bad  Last train back to London is early though.,NEGATIVE,,,,,,LABEL_0
@cortneycort aww  what'd you get?,NEGATIVE,,,,,,LABEL_0
@stevebrink i just wanted to follow mark. im very upset about chicagos lineup for blink ,NEGATIVE,,,,,,LABEL_0
@FuchsiaStiletto omg I'm jealous. I just ate a 46p oven pizza from sainsbury's. ,NEGATIVE,,,,,,LABEL_0
What do u do with a relative who thinks the world revolves around them? ,NEGATIVE,,,,,,LABEL_0
I've been awake since 5am. I hate jetlag ,NEGATIVE,,,,,,LABEL_0
"Oh dear, I'm so behind. ",POSITIVE,,,,,,LABEL_0
@KevinSpacey sounds awesome! Wish I could seem them   you coming to the UK anytime in the near future?,POSITIVE,,,,,,LABEL_0
@christian792 LOL we're such twitter addicts ,NEGATIVE,,,,,,LABEL_0
Annabelle Lee Anderson is sad that her Daddy moved to Atlanta  http://apps.facebook.com/dogbook/profile/view/6832767,NEGATIVE,,,,,,LABEL_0
@ClickJSF Magic went through!?!? Fantastic!  #nba,POSITIVE,,,,,,LABEL_0
On my way to watch graduation.  Lucky class of '09.,POSITIVE,,,,,,LABEL_0
Got firefly on dvd. Watching it now to fuck ,NEGATIVE,,,,,,LABEL_0
"Wow! 4 hours after it started, the Win7 upgrade looks like it's finally finishing up.  It's almost like installing VS2008 + SP1 ",NEGATIVE,,,,,,LABEL_0
vietnam is lame as of right now ,NEGATIVE,,,,,,LABEL_0
Thank God it's Friday! Can't wait for Delorentos tonight ,POSITIVE,,,,,,LABEL_0
All I want to do is go home and all I'm going to be doing is going to other peoples homes  not a happy camper,NEGATIVE,,,,,,LABEL_1
"@MiltyKiss what are the theme songs for each, again? All I know is DBSK's Rising Sun is in it! ",NEGATIVE,,,,,,LABEL_0
@rainbowteuk: i missed it ,NEGATIVE,,,,,,LABEL_0
I'm actually crying... ,NEGATIVE,,,,,,LABEL_0
@Jeslikeme LOL I see that! That's cool. I'll follow the sox then ,POSITIVE,,,,,,LABEL_0
I keep having dreams about @gregjames so I feel like I know him. But I don't.  Lame.,POSITIVE,,,,,,LABEL_0
"@Yermilla It's over for Detroit! They chose a girl with spanish like native language!! Too bad  But, I keep goin to believe in this dream",POSITIVE,,,,,,LABEL_1
I have to be familiar with English. I have suffered from reading English docs like JDBC tutorial. ,NEGATIVE,,,,,,LABEL_0
@lettersincolour work issues... when people arent trained they cant be expected to perform ,NEGATIVE,,,,,,LABEL_0
I was at Modells earlier and there was a Krejci shirt. For $10. In a kids size. Why must I be broke until Friday?! ,NEGATIVE,,,,,,LABEL_0
felt disappointed last night.  http://plurk.com/p/x4bl1,NEGATIVE,,,,,,LABEL_0
On second thought it could be if rachel was here too ,NEGATIVE,,,,,,LABEL_0
it's going to rain all day here ,NEGATIVE,,,,,,LABEL_0
Open a window ,POSITIVE,,,,,,LABEL_0
Looks like sourceforge.net is down ,NEGATIVE,,,,,,LABEL_0
Is fed up of hayfever ,NEGATIVE,,,,,,LABEL_1
"im up, showered and nearly ready for work. happy mothers day to all the mommies in the world   still super tiered from last night :\",POSITIVE,,,,,,LABEL_0
Ok this rain is really making me mad... It's never gonna be summer ,POSITIVE,,,,,,LABEL_0
"@lokgotz they havent seen my stuff issit? WAKAKAKA, pass them my flickr site wei! ",NEGATIVE,,,,,,LABEL_0
"trying @gwibber .. till now I am impressed with this one who doesn't use Adobe AIR, true #linux or rather #GNOME product  #gwibber",POSITIVE,,,,,,LABEL_0
All moved in to our new apartment. So exciting ,POSITIVE,,,,,,LABEL_0
@DC_Zol but can't view it on iPhone ,NEGATIVE,,,,,,LABEL_0
is thinking what song to use for the next chilled edition video! ,NEGATIVE,,,,,,LABEL_0
I just saw something that can't be unseen ,POSITIVE,,,,,,LABEL_0
I'm sleepy so its off to bed....alone ,NEGATIVE,,,,,,LABEL_0
@whutthafcuk i hit u up on friday dude...u never hit back ,POSITIVE,,,,,,LABEL_0
"@PennyPrincss - Hubs isn't even home yet (almost 2 hours late). So even if I COULD go today, I still couldn't. ",NEGATIVE,,,,,,LABEL_0
@dewebbie awww! sorry about that  if it makes you feel better i sit at work all day. and girls wear stinky perfume that make me wanna die,NEGATIVE,,,,,,LABEL_0
is in a really bad mood  (U) i dont know what to do with myself xx,NEGATIVE,,,,,,LABEL_1
@alexhanrahan i dont know how to do a twit pic ,NEGATIVE,,,,,,LABEL_0
I want green mangoes. ,NEGATIVE,,,,,,LABEL_0
we didn't start the flame war.. http://is.gd/trVJ ,NEGATIVE,,,,,,LABEL_0
@MistressJoJo @delicateone  good point!! Mine is on its way. How did he get delivered?  I will post pics too wen I get him ,NEGATIVE,,,,,,LABEL_0
Blue Oyster Cult - I Love The Night *that's when all my friends are around*  ? http://blip.fm/~5jd4b,POSITIVE,,,,,,LABEL_0
"Ouh! Your height! Good luck, shawty ",POSITIVE,,,,,,LABEL_0
"@shaundiviney goodluck getting in there, its crashed for me... shit.. i know...  and i really wanted to talk to you  (hint reply hint)",POSITIVE,,,,,,LABEL_0
ChinoXL Mann Has A Sexyyy Voice ,POSITIVE,,,,,,LABEL_0
@Alexxstar wow thot we'd lost ya lol lol ,NEGATIVE,,,,,,LABEL_0
"im at work, my feet hurt and im gonna be home in bed alone tonight ",NEGATIVE,,,,,,LABEL_1
"Everyone was worried about me, but i am fine. ",POSITIVE,,,,,,LABEL_0
"Welcome to twitter, @NunoAfonso and @OrionNicky ",POSITIVE,,,,,,LABEL_0
had the best day with my mamachka&lt;3...back to London tomorrow morning ,POSITIVE,,,,,,LABEL_1
someone had a stupid party yesterday and kept me awake till 4.30am!! and sooo i am thinking about playing loud music till 5am tonight ,NEGATIVE,,,,,,LABEL_0
"Craving Applebee's Shrimp and Parmesan Sirloin, but remembering that Florida is only two months away ",NEGATIVE,,,,,,LABEL_1
@shawnykakes OMG I just watched Empire Records last night! WTF Get out of my head!  Ethan Embry and a young Liv Tyler make me smile. ,POSITIVE,,,,,,LABEL_0
@xlad Well at least they only alnost smashed! ,NEGATIVE,,,,,,LABEL_0
intake went just fine ,POSITIVE,,,,,,LABEL_1
finding ways to save money ,NEGATIVE,,,,,,LABEL_1
@bossychole tiff got a baby white chihuahua an hour ago to help her feel comfy with the moved! im in loveeeee  i want one!,POSITIVE,,,,,,LABEL_0
"@MusicDiva13 brent's party was the best, wish i could have made it to happy valley. ",POSITIVE,,,,,,LABEL_0
i do not know what to do tonight  i am currently so so bored!,NEGATIVE,,,,,,LABEL_0
"@jordanknight JK, I STILL CAN'T VOTE!!! ",NEGATIVE,,,,,,LABEL_0
@CarriBugbee so you'll miss Open Source Bridge ,NEGATIVE,,,,,,LABEL_0
NOOOO!!!  &quot;thehannabeth: i have a crush... ;)&quot;,NEGATIVE,,,,,,LABEL_0
dandysmalls is gone  everyone needs to stop leaving,NEGATIVE,,,,,,LABEL_1
"I find that I strikingly resemble Garfield at the mo.. droopy-eyed, hungry-faced and supremely sloppy. ",NEGATIVE,,,,,,LABEL_0
"Had a good day so far. Played golf, got a hair cut, went to home depot, and just finished a BBQ... Movies &amp; drinks next ",NEGATIVE,,,,,,LABEL_0
@halamazin Awww ya36eech il3aaafya!! Heheh have fun :* laish on a Saturday?? ,POSITIVE,,,,,,LABEL_0
@joeclor10 That's a shame ,NEGATIVE,,,,,,LABEL_0
@pluggdin hey you're welcome ,POSITIVE,,,,,,LABEL_0
http://twitpic.com/6fvrr - Definitely swelling... ,NEGATIVE,,,,,,LABEL_0
@sheasy ,POSITIVE,,,,,,LABEL_0
Its such a gloomy Saturday...this weather is making me home-sick! ,NEGATIVE,,,,,,LABEL_0
dell 1525 laptop audio sucks through headphones... weird hissing noise. I can't believe this crap goes unfixed  I will not buy anotherdell,NEGATIVE,,,,,,LABEL_1
X-Men Origins: Wolverine was great ,POSITIVE,,,,,,LABEL_0
@iHugoF  I'm not the one allegedly affected by that disorder but it's true that the plans to go to bed before 4 failed miserably... ,NEGATIVE,,,,,,LABEL_0
ahhh !!!!! my heart is broken ,NEGATIVE,,,,,,LABEL_1
"hullos. at the office already. day from hell, have to submit actuals figures &amp; last budget forecast ",NEGATIVE,,,,,,LABEL_0
@revbobmek oh i am also sad cause you have plants almost in your apt and i dont have any ,NEGATIVE,,,,,,LABEL_0
"Wow my car is officially a PoS!  takin it back to get really fixed this time, grrrrrrrrrr.",POSITIVE,,,,,,LABEL_0
it's over now ,NEGATIVE,,,,,,LABEL_0
